Date,YLD_YTM_MID,Total
2011-01-31,8.545,5366
2011-02-28,8.517,-3268
2011-03-31,8.349,6880
2011-04-29,8.475,7195
2011-05-31,8.668,-4275
2011-06-30,8.543,4885
2011-07-29,8.718,10653
2011-08-31,8.592,-7904
2011-09-30,8.593,-1865
2011-10-31,9.007,3082
2011-11-30,9.114,-3266
2011-12-30,8.781,21875
2012-01-31,8.619,26325
2012-02-29,8.57,35227
2012-03-30,8.696,1794
2012-04-30,8.805,-4898
2012-06-29,8.584,1176
2012-07-31,8.565,13667
2012-08-31,8.627,11068
2012-09-28,8.48,19885
2012-10-31,8.354,19218
2012-11-30,8.453,9869
2012-12-31,8.272,26790
2013-01-31,8.093,25007
2013-02-28,8.008,28440
2013-03-29,8.215,14921
2013-04-30,8.183,10747
2013-05-31,7.525,28136
2013-06-28,7.84,-44162
2013-07-31,8.686,-18126
2013-12-31,9.42,21378
2014-05-30,9.019,33778
2014-06-30,8.69,30705
2014-07-31,8.7,36045
2014-09-30,8.65,20973
2014-10-31,8.355,16729
2014-11-28,8.177,25479
2014-12-31,7.96,12225
2015-01-30,7.722,33687
2015-02-27,7.724,24564
2015-03-31,7.837,20725
2015-04-30,7.929,15331
2015-05-29,7.974,-14272
2015-06-30,8.15,-1607
2015-07-31,8.06,5323
2015-08-31,8.019,-17524
2015-09-30,7.851,-5787
2015-10-30,7.877,22352
2015-11-30,8.022,-10828
2015-12-31,8.085,-8307
2016-02-29,8.298,-13716
2016-03-31,7.942,19665
2016-04-29,7.834,14833
2016-05-31,7.888,-1867
2016-06-30,7.763,-2507
2016-07-29,7.435,19458
2016-08-31,7.32,6445
2016-09-30,7.165,20233
2016-10-31,7.168,-10306
2016-11-30,6.784,-39395
2016-12-30,6.799,-27110
2017-01-31,7.229,-3496
2017-04-28,7.605,22758
2017-05-31,7.591,26866
2017-06-30,7.182,29302
2017-07-31,7.171,24028
2017-08-31,7.243,2677
2017-10-31,7.422,19119
2017-11-30,7.555,20258
2017-12-29,7.733,-3544
2018-01-31,7.804,22272
2018-02-28,7.983,-11674
2018-03-30,7.727,2662
2018-04-30,7.5,-15561
2018-11-30,7.91,11595
2018-12-31,7.632,7889
2019-01-31,7.674,-5556
2019-02-28,7.827,12053
2019-03-29,7.635,48751
2019-04-30,7.728,16728
2019-05-31,7.495,11370
2019-06-28,7.087,13111
2019-07-31,6.685,-3003
2019-08-30,7.007,-5871
2019-10-31,7.181,16069
2019-11-29,7.18,22999
2019-12-31,7.118,2762
2020-01-31,7.137,957
2020-02-28,6.879,8970
2020-03-31,6.841,-118203
2020-04-30,6.827,-14859
2020-05-29,6.792,-7356
2020-07-31,6.54,3301
2020-08-31,6.7,49879
2020-09-30,6.698,-1196
2020-10-30,6.754,21826
2020-11-30,6.623,62782
2021-01-29,6.49,14631
2021-02-26,6.88,24013
2021-03-31,6.86,17023
2021-04-30,6.763,-8836
2021-06-30,6.819,12974
2021-07-30,7.05,-7410
2021-09-30,6.788,27756
2021-12-31,6.944,-29702
2022-01-31,7.045,-28526
2022-02-28,7.059,-38068
2022-03-31,7.178,-50068
2022-04-29,7.318,-22688
2022-05-31,7.562,-36518
2022-06-30,7.81,-51422
2022-07-29,7.536,1971
2022-08-31,7.413,56521
2022-10-31,7.531,-3080
2022-11-30,7.397,33847
2022-12-30,7.435,9171
2023-01-31,7.36,-26544
2023-02-28,7.414,-4139
2023-03-31,7.392,5899
2023-04-28,7.232,13545
2023-06-30,7.12,56258
2023-07-31,7.23,47977
2023-08-31,7.304,18338
2023-09-29,7.273,-13810
2023-10-31,7.47,-17875
2023-11-30,7.397,24546
2023-12-29,7.335,84537
2024-02-29,7.14,31817
2024-03-29,7.123,51996
2024-04-30,7.25,-16260
2024-05-31,7.224,-12911
2024-06-28,7.035,41757
2024-07-31,6.997,48796
2024-08-30,6.94,25493
,6.853,93538
